tt_no,BeginUTC,EndUTC,ts_idx,ts_name,ts_type,temp_config,temp_config_source,TmaxValue,TminValue,TaveValue,MKTValue,TimeOverTmax,TimeOverTmaxC,TimeUnderTmin,TimeUnderTminC,pct_exposure_1,pct_exposure_2,pct_exposure_3,Info,LogInt,TagId,SessionId,viewable,last_read_loc,last_read_loc_name,origin_loc,origin_loc_name,EventType,EventUTC,has_alarm,start_trim_type,stop_trim_type,DataPoints,BatteryLevel,LastSLValue,sharing_override,co_idx,last_c_idx,plan_details,TmaxSetting,TminSetting,TstdSetting,TimeOverTmaxSetting,TimeOverTmaxSettingCont,TimeUnderTminSetting,TimeUnderTminSettingCont,Ea,InitSL,TmaxOvershoot,TminUndershoot,temptrip_no_1,temptrip_no_0,internal_route_id_0,batch_no_0,customer_no_0,customer_name_0,loader_name_0,driver_name_0,delivery_date_0,user_id_0,cumulative_exposure_pct_0,po_no_1,buyer_1,spclst_1,vendor_no_1,vendor_name_1,subvend_1,subvend_name_1,us_dot_1,carrier_name_1,driver_1,plan_no_1,plan_desc_1,rcv_temp_1,receiver_1,cumulative_exposure_pct_1,timestamp_0,timestamp_1,trailer_no_1,trailer_no_0,invoice_no_0,category_81_99,category_82_99,category_83_99,category_84_99,category_155_99,managed_by_1,category_164_99,category_165_99,category_166_99,category_167_99,category_168_99,category_176_99
8732-1-13-0,3/24/16 20:54,3/28/16 17:54,1188,Standard Retail,CONFIGS,1188,0,240,-229,-103,-103,0,0,0,0,-9999,-9999,-9999,,900,96575,-757510780,1,1115,PDI- Ankeny,1219,Excel Logistics,4,3/28/16 18:01,0,tag,tag,372,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8461-1-32-0,3/28/16 11:05,3/28/16 17:50,30,C-Frozen - General,PLANS,1249,30,-1000,-1380,-1292,-1292,0,0,24300,0,0,0,-9999,849396,900,82867,-760192947,1,1595,Hy-Vee Chariton,1307,"D&D Foods, Inc.",4,3/28/16 17:58,0,tag,tag,27,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8575-1-8-0,3/27/16 15:27,3/28/16 17:42,27,C-Produce - Warm Fresh,PLANS,1885,27,800,590,678,678,94500,0,0,0,0,0,-9999,396227,900,89397,-759403106,1,1595,Hy-Vee Chariton,2844,Larsen Farms - Dalhart,4,3/28/16 18:05,0,tag,sys,106,300,0,0,1321,0,3~-1~162~1278~3|4~300~1279~2389~4|2~180~-110~161~2|1~90~-4900~-111~1|6~120~2945~5100~6|5~240~2390~2944~5,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8253-1-200-0,3/26/16 13:55,3/28/16 17:40,1831,Standard Retail,CONFIGS,1831,0,2200,1430,1534,1534,0,0,0,0,-9999,-9999,-9999,,900,83741,-764769856,1,1595,Hy-Vee Chariton,2101,Dole Fresh Fruit - MS,3,3/28/16 17:47,0,tag,tag,207,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8395-1-159-0,3/26/16 09:17,3/28/16 17:32,32,C-Produce - Cold Fresh,PLANS,1746,32,860,139,230,230,202500,0,0,0,300,0,-9999,849220,900,57938,-761739089,1,1595,Hy-Vee Chariton,1963,Taylor Farms - Salinas,4,3/28/16 18:09,0,tag,sys,227,300,0,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8257-1-27-3,3/24/16 23:14,3/28/16 17:29,1753,Standard Retail,CONFIGS,1753,0,2310,1310,1869,1869,0,0,0,0,-9999,-9999,-9999,,900,83029,-764763985,1,1595,Hy-Vee Chariton,1595,Hy-Vee Chariton,3,3/28/16 15:43,0,tag,tag,361,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8070-1-37-2,3/28/16 14:18,3/28/16 17:18,30,C-Frozen - General,PLANS,1830,30,179,-1970,-1476,-1476,900,0,9900,0,62,0,-9999,848608,900,80216,-767278361,1,1595,Hy-Vee Chariton,2166,#1379 - Lawrence 2,4,3/28/16 17:26,0,tag,tag,12,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8593-1-8-0,3/25/16 04:06,3/28/16 17:08,32,C-Produce - Cold Fresh,PLANS,1816,32,509,170,237,237,0,0,0,0,0,0,-9999,849201,900,90218,-759242984,1,1595,Hy-Vee Chariton,2074,Honeybear Growers,4,3/28/16 17:27,0,usr,usr,372,300,-306000,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8432-1-67-0,3/25/16 23:04,3/28/16 17:04,1188,Standard Retail,CONFIGS,1188,0,650,-969,-353,-353,0,0,0,0,-9999,-9999,-9999,480340-10123,900,77316,-761306461,1,1115,PDI- Ankeny,1217,Hormel Food-NE,4,3/28/16 17:11,0,tag,tag,264,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,77316,,,,,,,,,,NULL,480340,4,61,2181,"TOPCO ASSOCIATES, INC.",BNL,TOPCO - BNLS LOINS,130271,JOHNSON FEED INC  (JFI),BRIAN MAZZA,100005,PORK FRESH,...,KEYRJ,...,NULL,...,4826,,,,,,,,VEN,,,,,,
8844-1-86-3,3/24/16 22:58,3/28/16 16:58,1753,Standard Retail,CONFIGS,1753,0,2300,1330,1869,1869,0,0,0,0,-9999,-9999,-9999,,900,98700,-756387192,1,1595,Hy-Vee Chariton,1595,Hy-Vee Chariton,3,3/28/16 15:43,0,tag,tag,360,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8450-1-17-3,3/24/16 21:27,3/28/16 16:57,1206,Standard Retail,CONFIGS,1206,0,2300,1130,1858,1858,0,0,0,0,-9999,-9999,-9999,,900,64507,-760702578,1,1595,Hy-Vee Chariton,1595,Hy-Vee Chariton,3,3/28/16 15:57,0,tag,tag,366,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8299-1-20-0,3/26/16 14:02,3/28/16 16:47,1577,Standard Retail,CONFIGS,1577,0,300,-1019,-706,-706,0,0,0,0,-9999,-9999,-9999,479977-90574,900,86429,-763816086,1,1115,PDI- Ankeny,1687,Preferred Freezer,4,3/28/16 16:55,0,tag,tag,203,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,86429,,,,,,,,,,NULL,479977,29,56,22,"JOHNSONVILLE SAUSAGE, INC.",JOH,"JOHNSONVILLE SAUSAGE, INC.",862406,JOHNSONVILLE,KARL ROSS,100009,BRANDMEATS,...,BIDLRL,...,NULL,...,70,,,,,,,,VEN,,,,,,
8732-1-18-0,3/28/16 14:01,3/28/16 16:46,30,C-Frozen - General,PLANS,1188,30,-450,-1039,-935,-935,0,0,9900,0,0,0,-9999,395248,900,96495,-757510724,1,1595,Hy-Vee Chariton,1219,Excel Logistics,3,3/28/16 16:53,0,tag,tag,11,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8768-1-10-0,3/27/16 14:10,3/28/16 16:40,2081,Standard Retail ,CONFIGS,2081,0,240,-40,25,25,0,0,0,0,-9999,-9999,-9999,480046-05093,900,97318,-757600567,1,1115,PDI- Ankeny,2498,Premier Custom Foods,4,3/28/16 16:47,0,tag,tag,106,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,97318,,,,,,,,,,NULL,480046,2,59,2181,"TOPCO ASSOCIATES, INC.",PCF,TOPCO - PREMIER CUSTOM FOODS,265725,PERISHABLE DISTRIBUTORS OF IA,,100010,POULTRY,...,REINMC,...,NULL,...,,,,,,,,,PDI,,,,,,
7069-1-2-9,3/28/16 15:23,3/28/16 16:38,1975,F-Cold Cut Flowers,PLANS,2122,1975,1879,1080,1449,1449,4500,0,0,0,0,275,-9999,,900,55215,-780579721,1,2375,FDI 400 - Columbia,2375,FDI 400 - Columbia,3,3/28/16 16:45,0,tag,tag,5,300,0,0,1321,0,3~-1~1~722~3|2~60~-666~0~2|1~45~-4900~-667~1|7~45~2668~5100~7|6~60~2112~2667~6|5~240~1112~2111~5|4~600~723~1111~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,748,493,470,,,
8309-1-2-0,3/25/16 12:11,3/28/16 16:26,1241,Standard Retail,CONFIGS,1241,0,780,110,162,162,0,0,0,0,-9999,-9999,-9999,478688-15638,900,79145,-763810605,1,1115,PDI- Ankeny,1286,Swiss Valley Farms,4,3/28/16 16:34,0,tag,tag,305,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,79145,,,,,,,,,,NULL,478688,30,56,2181,"TOPCO ASSOCIATES, INC.",CR,TOPCO CR SWISS VALLEY CRM CHSE,265725,PERISHABLE DISTRIBUTORS OF IA,,100014,CULTRDAIRY,...,DENADA,...,NULL,...,,,,,,,,,PDI,,,,,,
8253-1-199-0,3/26/16 23:33,3/28/16 16:24,28,C-Produce - Bananas,PLANS,1831,28,1580,1380,1425,1425,0,0,0,0,0,0,-9999,848833,900,83641,-764769869,1,1595,Hy-Vee Chariton,2101,Dole Fresh Fruit - MS,4,3/28/16 16:48,0,usr,usr,299,300,-146700,0,1321,0,8~-1~1334~1667~8|7~4320~1279~1333~7|6~1440~1223~1278~6|5~300~1168~1222~5|4~240~1057~1167~4|3~120~1001~1056~3|2~90~1~1000~2|1~60~-4900~0~1|10~900~1834~5100~10|9~1200~1668~1833~9,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8428-1-50-0,3/26/16 11:03,3/28/16 16:18,30,C-Frozen - General,PLANS,1496,30,-1169,-2339,-2165,-2165,0,0,191700,0,0,0,-9999,393458,900,74965,-761229126,1,1595,Hy-Vee Chariton,1608,J&J Snack Foods Corp,4,3/28/16 16:25,0,tag,tag,213,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7084-1-95-0,3/24/16 16:44,3/28/16 16:14,32,C-Produce - Cold Fresh,PLANS,1772,32,800,-60,121,121,295200,75600,32400,14400,300,0,-9999,848791,900,55247,-780575984,1,1595,Hy-Vee Chariton,2014,"Douglas Fruit Co.,",4,3/28/16 16:21,0,tag,tag,382,300,0,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8906-1-1-0,3/26/16 16:11,3/28/16 16:11,1233,Standard Retail,CONFIGS,1233,0,290,-139,88,88,0,0,0,0,-9999,-9999,-9999,479920-05058,900,100979,-755774885,1,1115,PDI- Ankeny,1336,Tyson Foods - New Holland,4,3/28/16 16:19,0,tag,tag,192,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,100979,,,,,,,,,,NULL,479920,3,53,2181,"TOPCO ASSOCIATES, INC.",BST,TOPCO - TYSON ROT BREAST,495018,DESART TRUCKING INC.,DARYL DESART,111111,FRESHSTAND,...,KEYRJ,...,NULL,...,12528,,,,,,,,,,,,,,
8884-1-1-0,3/27/16 09:32,3/28/16 16:02,1215,Standard Retail,CONFIGS,1215,0,600,-100,12,12,0,0,0,0,-9999,-9999,-9999,,900,101932,-755950223,1,1115,PDI- Ankeny,1277,Pilgrim's,4,3/28/16 16:09,0,tag,tag,122,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8732-1-7-0,3/24/16 18:28,3/28/16 15:58,1188,Standard Retail,CONFIGS,1188,0,179,-179,-54,-54,0,0,0,0,-9999,-9999,-9999,,900,96568,-757510848,1,1115,PDI- Ankeny,1219,Excel Logistics,4,3/28/16 16:06,0,tag,tag,374,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8786-1-5-0,3/25/16 01:26,3/28/16 15:56,32,C-Produce - Cold Fresh,PLANS,1830,32,1970,170,241,241,311400,0,0,0,350,187,-9999,395922,900,98326,-757417946,1,1595,Hy-Vee Chariton,2100,World Variety Produce,4,3/28/16 16:04,0,tag,tag,346,300,0,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7443-1-11-5,3/24/16 22:07,3/28/16 15:52,1204,Standard Retail,CONFIGS,1204,0,2310,1039,1867,1867,0,0,0,0,-9999,-9999,-9999,,900,50300,-776866955,1,1595,Hy-Vee Chariton,1894,#1386 - Lincoln 2,3,3/28/16 15:51,0,tag,tag,359,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8253-1-195-0,3/25/16 11:39,3/28/16 15:39,1831,Standard Retail,CONFIGS,1831,0,2920,1419,1535,1535,0,0,0,0,-9999,-9999,-9999,,900,83739,-764769994,1,1595,Hy-Vee Chariton,2101,Dole Fresh Fruit - MS,3,3/28/16 15:47,0,tag,tag,304,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
6869-1-50-39,3/28/16 13:38,3/28/16 15:38,1979,F-Outbound,PLANS,2137,1979,669,320,400,400,7200,0,0,0,175,0,-9999,,900,53199,-781538220,1,2367,FDI 100 - Des Moines,2367,FDI 100 - Des Moines,3,3/28/16 18:00,0,tag,sys,17,300,0,0,1321,0,4~-1~445~1556~4|3~600~1~444~3|2~120~-666~0~2|1~45~-4900~-667~1|6~120~2390~5100~6|5~240~1557~2389~5,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,358,394,403,,,
8705-1-30-0,3/27/16 13:48,3/28/16 15:33,31,C-Frozen - Ice Cream,PLANS,1556,31,-1929,-2789,-2663,-2663,0,0,92700,0,0,0,-9999,396443,900,93958,-758202856,1,1595,Hy-Vee Chariton,1698,Blue Bunny,4,3/28/16 16:11,0,tag,sys,105,300,0,0,1321,0,1~-1~-4900~-1778~1|3~480~-1221~-1000~3|2~780~-1777~-1222~2|8~60~1001~5100~8|7~90~445~1000~7|6~120~1~444~6|5~240~-388~0~5|4~300~-999~-389~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8498-1-98-0,3/27/16 11:18,3/28/16 15:33,1194,Standard Retail,CONFIGS,1194,0,100,-189,-148,-148,0,0,0,0,-9999,-9999,-9999,480180-04941,900,88885,-759834217,1,1115,PDI- Ankeny,1226,GNP Poultry- CS,4,3/28/16 15:40,0,tag,tag,113,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,88885,,,,,,,,,,NULL,480180,2,59,117,GOLD'N PLUMP POULTRY,,,176097,RAMBLER TRUCKING INC.,MATHEW FINBRAATEN,100010,POULTRY,...,MCDEPP,...,NULL,...,RT311,,,,,,,,VEN,,,,,,
8732-1-11-1,3/28/16 09:53,3/28/16 15:23,43,P-Outbound Plan,PLANS,1188,43,530,30,99,99,19800,0,0,0,10,-9999,-9999,14498562,900,96509,-757510803,1,1831,#1051 - Carroll,1115,PDI- Ankeny,3,3/28/16 15:30,0,tag,tag,22,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,96509,371112,14498562,1051,HY-VEE - CARROLL,"Roberts, Mike W.","HAUSMAN, MICHAEL",3/28/16,ROBEMW,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,5433,0,,,,,,,,,,,,
8522-1-8-0,3/26/16 06:07,3/28/16 15:22,1192,Standard Retail,CONFIGS,1192,0,200,-189,-32,-32,0,0,0,0,-9999,-9999,-9999,479834-27546,900,77686,-759578652,1,1115,PDI- Ankeny,1362,Cargill Meat Solutions - Milwaukee,4,3/28/16 15:30,0,tag,tag,229,300,0,1,1321,0,-,4900,-4800,4800,252000,252000,252000,252000,0,0,4900,-4800,77686,,,,,,,,,,NULL,479834,8,58,2181,"TOPCO ASSOCIATES, INC.",PEL,TOPCO - GROUND BEEF-CARGILL,55815,SHARKEY,VERNON SEE,100006,BEEFGROUND,...,CLAUJJ,...,NULL,...,80154,,,,,,,,VEN,,,,,,
8531-1-7-2,3/28/16 00:36,3/28/16 15:21,43,P-Outbound Plan,PLANS,1158,43,240,-189,112,112,43200,36000,7200,7200,0,-9999,-9999,14497443,900,88768,-759842158,1,1115,PDI- Ankeny,2078,#1042 - Burlington 1,4,3/28/16 15:59,0,tag,sys,61,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4900,4900,252000,252000,252000,252000,0,0,4900,-9800,,88768,371161,14497443,7057,HV DRUGSTORE - MOUNT PLEASANT,"McSparin, Bill P.","GRIFFITT, GARY",3/28/16,MCSPBP,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,12527,0,,,,,,,,,,,,
7807-1-11-2,3/28/16 09:29,3/28/16 15:20,43,P-Outbound Plan,PLANS,1304,43,930,509,724,724,0,0,0,0,480,-9999,-9999,14498550,900,73168,-770896479,1,1831,#1051 - Carroll,2004,#1519 - Peoria 1,3,3/28/16 15:43,0,sys,sys,25,300,-21600,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,73168,371112,14498550,2021,FARNER BOCKEN - CARROLL,"Roberts, Mike W.","HAUSMAN, MICHAEL",3/28/16,ROBEMW,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,5433,0,,,,,,,,,,,,
8588-1-46-12,3/26/16 04:40,3/28/16 15:18,43,P-Outbound Plan,PLANS,1298,43,3150,-140,1019,1019,0,0,0,0,18810,-9999,-9999,14483575,900,90067,-759243820,1,1115,PDI- Ankeny,2276,#1261 - Independence 2,4,3/28/16 15:26,1,sys,tag,238,300,-211500,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,90067,370947,14483575,1148,HY-VEE #4 - DES MOINES,"Kentner, Nick A.","SMITH, JAMES",3/26/16,KENTNA,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,16620,0,,,,,,,,,,,,
9041-1-13-1,3/28/16 11:03,3/28/16 15:18,43,P-Outbound Plan,PLANS,1179,43,200,-100,81,81,9000,9000,4500,1800,0,-9999,-9999,14498589,900,106428,-754403798,1,1850,#1136 - DM 1,1115,PDI- Ankeny,3,3/28/16 15:25,0,tag,tag,17,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,106428,371178,14498589,1136,HY-VEE #1 - DES MOINES,"Hartgers, Jon G.","BESEMAN, LOREN",3/28/16,HARTJG,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,10497,0,,,,,,,,,,,,
8330-1-118-1,3/28/16 11:41,3/28/16 15:11,43,P-Outbound Plan,PLANS,1249,43,469,189,269,269,12600,0,0,0,10,-9999,-9999,14498639,900,86771,-763121868,1,1824,#1038 - Boone,1115,PDI- Ankeny,3,3/28/16 15:18,0,tag,tag,14,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,86771,371198,14498639,1038,HY-VEE - BOONE,"Denadel, Dave A.","BEAN, MATT",3/28/16,DENADA,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,9484,0,,,,,,,,,,,,
8974-1-27-1,3/28/16 07:11,3/28/16 14:56,43,P-Outbound Plan,PLANS,1272,43,179,-60,84,84,25200,0,2700,0,0,-9999,-9999,14498286,900,105524,-755182810,1,2164,#1376 - Lamoni,1115,PDI- Ankeny,3,3/28/16 15:04,0,tag,tag,31,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,105524,371181,14498286,1376,HY-VEE - LAMONI,"Batten, Bryan R.","FOX, LARRY",3/28/16,BATTBR,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,13545,0,,,,,,,,,,,,
8253-1-144-0,3/25/16 10:56,3/28/16 14:56,28,C-Produce - Bananas,PLANS,1831,28,2300,1419,1446,1446,273600,0,0,0,0,70,-9999,848830,900,83599,-764771535,1,1595,Hy-Vee Chariton,2101,Dole Fresh Fruit - MS,4,3/28/16 15:03,0,tag,tag,304,300,0,0,1321,0,8~-1~1334~1667~8|7~4320~1279~1333~7|6~1440~1223~1278~6|5~300~1168~1222~5|4~240~1057~1167~4|3~120~1001~1056~3|2~90~1~1000~2|1~60~-4900~0~1|10~900~1834~5100~10|9~1200~1668~1833~9,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
9043-1-38-0,3/25/16 16:38,3/28/16 14:53,27,C-Produce - Warm Fresh,PLANS,1810,27,1069,469,730,730,0,0,0,0,0,0,-9999,848811,900,92428,-754400035,1,1595,Hy-Vee Chariton,2067,SunWest Fruit Company,4,3/28/16 15:00,0,tag,tag,281,300,-252900,0,1321,0,3~-1~162~1278~3|4~300~1279~2389~4|2~180~-110~161~2|1~90~-4900~-111~1|6~120~2945~5100~6|5~240~2390~2944~5,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8432-1-72-0,3/26/16 11:50,3/28/16 14:50,1188,Standard Retail,CONFIGS,1188,0,170,-309,-252,-252,0,0,0,0,-9999,-9999,-9999,480342-10123,900,56446,-761306379,1,1115,PDI- Ankeny,1217,Hormel Food-NE,4,3/28/16 14:58,0,tag,tag,204,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,56446,,,,,,,,,,NULL,480342,4,61,2181,"TOPCO ASSOCIATES, INC.",BNL,TOPCO - BNLS LOINS,65762,HEYL TRUCK LINES INC,STEVEN NELSON,100005,PORK FRESH,...,BASSJG,...,NULL,...,11001,,,,,,,,VEN,,,,,,
8702-1-7-0,3/26/16 10:34,3/28/16 14:49,2099,Standard Retail ,CONFIGS,2099,0,630,69,253,253,0,0,0,0,-9999,-9999,-9999,478564-02336,900,95130,-758201235,1,1115,PDI- Ankeny,2514,FAGE USA Dairy Industry,4,3/28/16 14:57,0,tag,tag,209,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,95130,,,,,,,,,,NULL,478564,15,62,6677,FAGE USA,,,2226374,CHOPTANK TRANSPORT,CALVERT DOUGLAS,111111,FRESHSTAND,...,TALBJUD,...,NULL,...,8157,,,,,,,,VEN,,,,,,
8389-1-19-1,3/28/16 12:19,3/28/16 14:49,1979,F-Outbound,PLANS,2122,1979,960,630,778,778,9000,0,0,0,0,0,-9999,,900,7933,-762000901,1,2367,FDI 100 - Des Moines,2367,FDI 100 - Des Moines,3,3/28/16 14:56,0,tag,tag,10,300,0,0,1321,0,4~-1~445~1556~4|3~600~1~444~3|2~120~-666~0~2|1~45~-4900~-667~1|6~120~2390~5100~6|5~240~1557~2389~5,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,366,415,400,,,
