tt_no,BeginUTC,EndUTC,ts_idx,ts_name,ts_type,temp_config,temp_config_source,TmaxValue,TminValue,TaveValue,MKTValue,TimeOverTmax,TimeOverTmaxC,TimeUnderTmin,TimeUnderTminC,pct_exposure_1,pct_exposure_2,pct_exposure_3,Info,LogInt,TagId,SessionId,viewable,last_read_loc,last_read_loc_name,origin_loc,origin_loc_name,EventType,EventUTC,has_alarm,start_trim_type,stop_trim_type,DataPoints,BatteryLevel,LastSLValue,sharing_override,co_idx,last_c_idx,plan_details,TmaxSetting,TminSetting,TstdSetting,TimeOverTmaxSetting,TimeOverTmaxSettingCont,TimeUnderTminSetting,TimeUnderTminSettingCont,Ea,InitSL,TmaxOvershoot,TminUndershoot,temptrip_no_1,temptrip_no_0,internal_route_id_0,batch_no_0,customer_no_0,customer_name_0,loader_name_0,driver_name_0,delivery_date_0,user_id_0,cumulative_exposure_pct_0,po_no_1,buyer_1,spclst_1,vendor_no_1,vendor_name_1,subvend_1,subvend_name_1,us_dot_1,carrier_name_1,driver_1,plan_no_1,plan_desc_1,rcv_temp_1,receiver_1,cumulative_exposure_pct_1,timestamp_0,timestamp_1,trailer_no_1,trailer_no_0,invoice_no_0,category_81_99,category_82_99,category_83_99,category_84_99,category_155_99,managed_by_1,category_164_99,category_165_99,category_166_99,category_167_99,category_168_99,category_176_99
8287-1-3-1,6/29/16 14:30,6/30/16 15:45,1192,Standard Retail,CONFIGS,1192,0,509,-10,94,94,0,0,0,0,-9999,-9999,-9999,,900,85262,-764162833,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 17:46,0,tag,tag,101,300,0,0,1321,0,-,4900,-4800,4800,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8438-1-12-1,6/8/16 13:28,6/8/16 18:58,1250,Standard Retail,CONFIGS,1250,0,250,110,127,127,0,0,0,0,-9999,-9999,-9999,,900,70790,-761231022,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 21:17,0,tag,tag,22,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8438-1-14-1,5/25/16 13:40,5/25/16 18:40,1250,Standard Retail,CONFIGS,1250,0,300,129,143,143,0,0,0,0,-9999,-9999,-9999,,900,77867,-761231003,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 17:57,0,tag,tag,20,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8969-1-19-1,4/13/16 19:34,4/14/16 13:34,43,P-Outbound Plan,PLANS,1330,43,690,160,333,333,64800,0,0,0,21,-9999,-9999,,900,71004,-755261692,1,2229,#1260 - Independence 1,1115,PDI- Ankeny,3,3/27/16 10:59,0,tag,tag,72,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8458-1-3-7,3/29/16 00:37,3/29/16 10:37,1225,Standard Retail,CONFIGS,1225,0,270,139,161,161,0,0,0,0,-9999,-9999,-9999,,900,72312,-760188893,1,1115,PDI- Ankeny,1115,PDI- Ankeny,3,3/27/16 20:17,0,tag,sys,75,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8458-1-3-6,3/29/16 00:04,3/29/16 10:04,1225,Standard Retail,CONFIGS,1225,0,270,139,161,161,0,0,0,0,-9999,-9999,-9999,,900,72312,-760188894,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/26/16 17:16,0,tag,sys,75,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8096-1-12-3,3/28/16 06:04,3/28/16 18:49,1587,C-Frozen - Outbound,PLANS,1204,1587,-1210,-2620,-2301,-2301,0,0,45900,0,-9999,0,-9999,,900,81455,-766837688,1,2045,#1353 - Knoxville,1595,Hy-Vee Chariton,3,3/28/16 18:57,0,tag,tag,51,300,0,0,1321,0,1~-1~-4900~-944~1|6~60~1001~5100~6|5~60~445~1000~5|4~300~1~444~4|3~420~-388~0~3|2~480~-943~-389~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2429,,,,,,,,
8345-1-14-3,3/28/16 06:04,3/28/16 18:49,1587,C-Frozen - Outbound,PLANS,1815,1587,-1610,-2810,-2573,-2573,0,0,45900,0,-9999,0,-9999,,900,85939,-762948917,1,2045,#1353 - Knoxville,1595,Hy-Vee Chariton,3,3/28/16 18:57,0,tag,tag,51,300,0,0,1321,0,1~-1~-4900~-944~1|6~60~1001~5100~6|5~60~445~1000~5|4~300~1~444~4|3~420~-388~0~3|2~480~-943~-389~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2429,,,,,,,,
8146-1-17-11,3/24/16 20:28,3/28/16 18:43,2180,Standard Retail,CONFIGS,2180,0,2250,850,1768,1768,0,0,0,0,-9999,-9999,-9999,,900,69896,-766498648,1,1595,Hy-Vee Chariton,1595,Hy-Vee Chariton,3,3/28/16 17:27,0,tag,tag,377,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8395-1-197-0,3/25/16 19:43,3/28/16 18:43,32,C-Produce - Cold Fresh,PLANS,1746,32,550,20,78,78,255600,0,0,0,0,0,-9999,849219,900,80320,-761738485,1,1595,Hy-Vee Chariton,1963,Taylor Farms - Salinas,4,3/28/16 18:50,0,tag,tag,284,300,0,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
